Firm,year,city,Age,Roa,Lev,Cash,Growth,Mshrrat,Shrholder1,Share_indep,Capital,Labor,Bigdata,Post,Gdpt,Popt,Secondt,Waget,Edut,Firm_numt,Thirdt,Indus,Policy_year
438,2014,上海市,2.6390574,.092720397,.30674499,-.0029723146,.44833499,32.2463,18.360001,.42860001,20.196539,8.4405279,1,0,94.80513,36.244297,210.25,55.913445,18.255814,48.611027,286.39999,C38,2016
884,2012,上海市,2.7080503,.1181871,.049093001,.12079264,-.132616,42.825001,38.799999,.5,18.609848,4.9767337,1,0,56.883076,21.746578,126.14999,33.548065,10.953488,29.166615,171.84,C26,2016
1674,2016,北京市,2.8332133,.11655153,.053518001,.096045598,-.108831,61.560001,49.68,.375,18.277281,6.3207684,1,1,131.35664,49.926365,168.07001,77.648079,32.157703,61.859699,525.77002,C27,2016
664,2010,深圳市,1.6094379,.07145346,.172521,.066060767,-.068149999,66.024498,49.540001,.57139999,18.330931,7.297091,1,0,18.377932,5.5329943,47.209999,10.828837,2.5906801,9.0178471,52.720001,C22,2016
884,2016,上海市,2.9444389,-.059927236,.347994,-.10730802,-.44851801,50.366199,46.529999,.42860001,20.326937,7.4500794,1,1,132.72717,50.742016,294.35001,78.278824,25.55814,68.055435,400.95999,C15,2016
959,2020,北京市,2.8903718,.021832049,.385741,.15565538,.273204,22.801701,30.4,.33330002,21.398329,8.8149242,1,1,206.41757,78.455719,264.11002,122.01841,50.533531,97.208099,826.21002,C36,2016
2273,2016,南京市,2.8332133,.010346004,.80187303,.094561026,-.045253001,0,45.310001,.33330002,23.809669,9.2834053,0,0,124.2733,45.132252,317.59,75.565773,87.818779,57.911572,362.94998,C31,0
2293,2016,平顶山市,2.8332133,.07137309,.47231299,.085627615,1.93663,0,38.509998,.33330002,21.692476,9.7388487,1,1,114.72134,43.988941,464.31,72.600433,8.0159006,48.361282,174.44,C38,2016
2226,2013,湖州市,2.6390574,.011507434,.39390799,.051286761,.144548,.2714,34.27,.33330002,20.508745,7.9589267,0,0,65.527161,22.236568,219.72,42.018673,3.8107545,32.711185,148.28,C26,0
885,2012,杭州市,2.5649493,.11150201,.25660899,.220908,.27250499,.029899999,40.009998,.33330002,20.803654,8.7563677,0,0,53.704041,19.593506,143.43001,32.384727,18.928967,27.740017,146.06999,C14,0
2403,2017,上海市,2.8332133,.042512476,.27209401,.047755394,-.056777,.43880001,21.99,.44439998,21.501467,7.1754899,1,1,151.6882,57.990875,336.39999,89.46151,29.209303,77.777641,458.23999,C32,2016
38,2021,深圳市,3.2580965,.07367073,.68178898,.044577554,.387059,.072400004,22.860001,.33330002,20.563643,9.2653017,1,1,220.53519,66.395935,566.52002,129.94604,31.088161,108.21416,632.64001,C38,2016
2346,2011,龙岩市,2.5649493,.042415399,.61014998,-.035398662,.50446302,1.027,17.17,.33330002,19.958866,8.5338535,0,0,32.217903,11.370558,106.5,20.672777,.8970322,14.487026,67.480003,C35,0
529,2010,遂宁市,1.9459101,-.021458801,.61123103,-.1021378,.284509,66.908203,30.23,.33330002,19.988306,8.3373489,0,0,15.41536,5.9511633,51.43,10.187933,.26198778,6.1158919,26.48,C13,0
3279,2019,汕头市,2.3978953,.068693087,.146585,.083446175,-.084467001,30.2505,29.66,.42860001,19.122746,5.6240177,1,1,163.07867,62.488167,561,102.30663,1.7763448,78.555443,385.60001,C22,2016
2405,2012,太原市,2.4849067,.052418187,.32910401,-.052063927,-.169944,0,31.049999,.36360002,19.905291,7.5453897,0,0,50.080845,17.702156,134.73,31.701534,27.062546,18.564793,160.17,C37,0
2246,2017,柳州市,3.1354942,-.060828388,.350447,-.063218541,.101589,.0243,33.34,.375,20.640274,7.8355794,0,0,131.13736,47.310184,510.88,84.208893,13.623118,54.690075,222.56,C26,0
692,2014,厦门市,2.7080503,.063471533,.416154,.024940923,1.149525,22.689301,38.41,.42860001,19.486362,7.8834462,0,0,84.204185,25.925743,248.64999,53.018417,35.644524,38.510521,245.75,C38,0
1863,2021,杭州市,3.1780539,.0030710173,.53176701,.0019242727,3.0740509,10.3772,21.530001,.375,18.022512,6.4800444,0,0,214.81616,78.374023,573.72003,129.53891,75.715866,110.96007,584.27997,C39,0
495,2013,肇庆市,2.5649493,.037612438,.47211,.024908213,.00088900002,.0052,16.719999,.42860001,20.500967,7.9755645,1,0,64.801903,24.141926,168.24001,41.250927,5.2625647,28.12343,161.67999,C36,2016
886,2016,滁州市,2.6390574,-.024456674,.267432,.066475324,.22397099,42.752998,42.240002,.33330002,20.251554,7.9120569,0,0,110.28631,42.772507,344.12,71.81189,6.1552796,49.848766,206.5,C30,0
135,2021,南昌市,3.3322046,.021782469,.67542702,.066777475,.245005,.000099999997,41.029999,.33330002,22.519897,9.4673052,0,0,202.87921,74.570496,639.23999,125.57025,117.13075,84.611877,495,C36,0
43,2020,盘锦市,3.1354942,.012365117,.49418899,.1008843,.402242,.0027999999,27.16,.33330002,23.270397,9.0278587,0,0,176.45717,53.593533,732.05005,112.64951,4.5190096,72.18689,271.14999,C25,0
781,2018,哈尔滨市,2.8903718,.013587642,.53637999,.12269074,.066399001,.91399997,42.299999,.375,21.250347,7.7944112,0,0,156.75195,62.095692,340.01999,93.476303,43.691669,65.40773,458.63998,C27,0
1457,2013,广州市,2.6390574,.070869178,.129884,.072465815,.236773,.036499999,38.110001,.42860001,19.080608,5.433722,1,0,73.971367,26.740446,148.96001,43.62339,41.875305,35.396908,244.03999,C35,2016
591,2020,郑州市,2.9444389,.12802808,.50085998,.21138038,.16778301,37.834599,9.9700003,.33330002,21.244688,8.8764048,1,1,192.66017,72.643379,617.87,114.37257,74.179749,86.992256,448.14001,C14,2016
499,2019,深圳市,2.9444389,.053153068,.23823699,.11568633,.099159002,.30829999,20.84,.33330002,20.861458,7.097549,1,1,183.77931,55.329941,472.09998,108.28838,25.906801,90.178467,527.20001,C39,2016
887,2013,广州市,2.3025851,.1213842,.14076599,.16902687,.22971199,54.967201,27.209999,.33330002,19.886271,7.9388022,1,0,73.971367,26.740446,148.96001,43.62339,41.875305,35.396908,244.03999,C21,2016
2290,2016,烟台市,2.8903718,.089590624,.63884699,.14476198,.084109999,0,50.5,.36360002,24.072044,8.9730978,0,0,123.1315,45.356014,412.22998,73.078621,15.737906,57.016819,234.07999,C26,0
617,2018,泸州市,2.7725887,.034348745,.27317601,.036881246,.58177602,0,18.059999,.36360002,20.650097,8.246172,0,0,142.0412,55.91526,508.32001,91.370567,6.3590541,57.282757,254.7,C26,0
418,2021,扬州市,2.9957323,.047877766,.43900001,-.011847834,-.59734303,.16590001,11.54,.375,22.987043,8.3995352,0,0,203.03842,73.548599,661.67999,125.70479,20.266859,99.060585,451.44,C26,0
2110,2019,潍坊市,3.2580965,.05883646,.36818701,.03182495,-.049690999,13.4525,19.98,.40000001,20.822212,6.8394766,0,0,172.46565,67.694122,556.59998,104.25567,13.853144,85.348366,336.5,C20,0
2395,2016,株洲市,3.1354942,.057175383,.31272501,.046462759,.23781,.1202,26.58,.33330002,20.136852,8.3723984,0,0,114.52992,41.712589,404.39001,72.902679,12.328696,51.055885,227.64,C27,0
2411,2015,南京市,2.7725887,.0076148431,.50605398,.045075357,-.149468,.000099999997,25.200001,.33330002,20.601511,7.9582272,0,0,106.51997,38.684788,272.22,64.77066,75.273239,49.638489,311.09998,C36,0
908,2020,江门市,2.4849067,.07718166,.50671601,.084044255,.143262,.016000001,58.77,.42860001,22.607834,11.182587,1,1,182.26382,65.681076,610.94,115.85178,6.5305138,89.031448,407.10999,C39,2016
3041,2019,潮州市,2.8332133,.038915377,.41305301,.064506821,-.043811001,23.743799,30.139999,.375,19.407606,7.3125534,1,1,155.36925,55.58371,553.10004,101.07487,6.3406034,71.268906,374.70001,C30,2016
1987,2021,洛阳市,2.7725887,.082321994,.43926099,-.054720908,-.097014003,39.579399,20.139999,.5,20.485527,7.5606012,1,1,203.51721,78.599243,722.16003,123.67061,14.022913,90.085693,380.88,C34,2016
2396,2019,保定市,2.9444389,.018578125,.34713501,.012781787,.103963,.000099999997,31.51,.42860001,22.831802,10.022115,1,1,168.36082,70.546219,516,102.43201,14.008492,75.21859,335.89999,C37,2016
504,2020,台州市,2.9444389,.028472744,.64332402,-.046158869,.41308701,1.8499,14.77,.5,18.94286,6.5352411,0,0,187.04979,70.008469,568.58997,116.71719,5.611671,97.863968,458.59,C38,0
1271,2019,岳阳市,2.7080503,.054657333,.30248401,.0040382328,.39001501,19.1276,12.58,.33330002,19.796249,6.7968235,0,0,165.49461,63.302555,541.89996,101.49814,6.5147977,72.363396,318,C35,0
1432,2015,青岛市,2.8332133,.15843301,.45839399,.24141416,-.22199699,28.3813,14.57,.44439998,19.218637,6.689599,0,0,107.11568,39.825905,292.13998,63.240936,22.376093,51.8619,278.58002,C38,0
348,2019,哈尔滨市,2.9957323,.024502523,.385203,.046702072,.31376699,.000099999997,16.879999,.36360002,20.992727,8.7695074,0,0,174.16884,68.995216,377.79999,103.86256,48.546299,72.675255,509.59998,C37,0
1599,2021,江门市,2.9444389,.10284232,.24922299,.073200807,.15412299,42.309399,41.57,.33330002,20.63887,7.5368972,1,1,198.83327,71.652084,666.47998,126.38376,7.124197,97.125214,444.12,C38,2016
889,2014,绍兴市,2.4849067,.039863601,.39044499,.074224189,-.23239399,0,29.959999,.42860001,18.345665,7.0396605,0,0,85.729996,30.414516,280.25,52.333263,6.1366796,43.10326,193,C41,0
2200,2011,包头市,2.5649493,.017248159,.210197,-.03752378,-.37654799,.0074999998,31.49,.33330002,18.772202,7.2211051,1,0,34.037174,10.784526,108.22,21.26199,7.6889901,13.144565,86.379997,C13,2016
889,2016,绍兴市,2.6390574,.0086198067,.37587699,.052583687,-.23283499,0,29.959999,.42860001,18.813124,6.9246125,0,0,120.022,42.580322,392.35001,73.266571,8.5913515,60.344566,270.19998,C41,0
3433,2019,深圳市,1.7917595,.10125259,.53421903,.227715,.33686501,0,51.049999,.33330002,20.458467,9.6761475,1,1,183.77931,55.329941,472.09998,108.28838,25.906801,90.178467,527.20001,C39,2016
1442,2020,东莞市,3.1354942,.06325984,.32589599,.083979331,.104008,2.5083001,18.93,.42860001,19.539408,6.8638034,1,1,193.20598,57.134743,559.78998,118.23808,23.173405,95.507919,535.92004,C29,2016
1811,2018,镇江市,2.3978953,.037652858,.185693,.022318592,-.119908,0,28.129999,.33330002,19.14781,6.0799332,0,0,151.24539,50.395794,507.42001,94.830833,28.762033,72.424706,355.67999,C26,0
1809,2020,潮州市,2.8332133,.13813859,.112947,.1089619,.064184003,2.1801,29.15,.33330002,20.123142,7.4036703,1,1,170.90617,61.142082,608.41003,111.18237,6.9746637,78.395798,412.17001,C27,2016
511,2012,宁波市,2.3025851,.0036588639,.58880901,-.034500103,-.088063002,.00030000001,20.940001,.42860001,19.972803,7.0587583,0,0,53.278839,19.050562,166.79999,32.039909,7.3587999,28.298292,120.45,C39,0
603,2019,沈阳市,2.9444389,.061316598,.234825,.17162488,1.263514,0,27.950001,.5,17.289181,4.6249728,1,1,177.31035,65.766083,504.19998,106.43033,48.441219,85.663643,449.39999,C39,2016
1275,2010,上海市,2.3025851,.090265721,.097335003,.014439484,.134712,36.8321,30.110001,.33330002,18.969645,6.6437898,1,0,18.961025,7.2488594,42.049999,11.182689,3.6511629,9.7222052,57.279999,C27,2016
972,2017,广州市,3.4657359,.038390387,.22520401,.05277852,-.073513001,.12530001,74.889999,.57139999,20.412609,7.7441368,1,1,147.94273,53.480892,297.92001,87.24678,83.75061,70.793816,488.07999,C24,2016
2427,2018,苏州市,3.0910425,.035355315,.049093001,-.010592553,.088583,30.1315,26.49,.33330002,20.003815,6.4551988,0,0,165.06393,58.089706,512.37,96.542564,25.086834,85.619308,372.42001,C28,0
611,2017,南通市,2.7080503,.042317279,.40060899,.06003765,.239262,.51560003,16.25,.33330002,21.004292,9.0592852,0,0,138.88802,53.095966,440.56,84.661476,8.6663876,71.475639,298,C36,0
250,2015,北京市,3.0910425,.010735158,.48653701,.068767145,-.092665002,.0063,11.56,.36360002,24.781578,10.665157,1,0,112.5914,42.794029,144.06,66.555496,27.563744,53.022598,450.66,C39,2016
1049,2019,深圳市,2.7080503,.018736297,.317563,.10539027,.23404799,0,35.560001,.42860001,19.012659,8.1696196,1,1,183.77931,55.329941,472.09998,108.28838,25.906801,90.178467,527.20001,C39,2016
2508,2019,上海市,3.2958369,.035687272,.117427,.039730538,.171892,3.7332001,24.66,.375,19.177561,6.9037471,1,1,189.61026,72.488594,420.5,111.82689,36.511627,97.222054,572.79999,C26,2016
460,2012,昆明市,2.3025851,-.057045747,.72769397,.048578642,.142791,0,40.59,.33330002,21.379461,8.3289337,0,0,50.609058,19.087013,135.95999,31.122547,13.866197,20.540829,147.03,C26,0
1050,2017,荆门市,3.1354942,.057770398,.30707601,.065380149,.030835001,23.053101,16.719999,.36360002,20.318657,7.6741529,0,0,126.42785,45.648907,386.95999,81.935501,5.0961385,56.538559,254.08,C26,0
1311,2013,宁波市,3.0445225,.006768323,.101131,-.00095957128,.270172,25.5786,30.02,.375,19.00923,6.3421216,0,0,71.038452,25.400749,222.39999,42.719879,9.8117332,37.731056,160.60001,C39,0
2228,2015,赣州市,2.7725887,-.042477451,.72328502,.1870323,-.080851004,0,18.219999,.42860001,19.417524,5.9506426,0,0,97.387161,40.82835,266.16,60.414154,5.179296,40.780941,220.32001,C26,0
1051,2015,厦门市,2.9444389,.019678658,.40112799,.017453538,-.041995,30.3834,21.530001,.33330002,18.250452,7.0544496,0,0,101.04503,31.110893,298.38,63.622101,42.77343,46.212627,294.90002,C30,0
866,2018,南京市,2.7080503,.045779575,.126265,.044475049,.346944,7.4794998,43.740002,.33330002,19.616392,6.9874902,0,0,159.77995,58.02718,408.32999,97.155998,112.90986,74.457733,466.64999,C38,0
1051,2020,厦门市,3.1780539,.0098110056,.49825701,.020735104,.32281101,24.7635,13.58,.33330002,18.190207,6.7787848,0,0,185.24921,57.036636,547.02997,116.64052,78.417953,84.723152,540.65002,C30,0
2062,2020,襄阳市,3.0445225,.027421949,.59867901,.071382284,-.0055030002,.0115,60.099998,.33330002,21.179935,8.5085564,0,0,182.03629,70.181351,570.78998,111.14469,6.9911518,81.100212,361.34998,C36,0
614,2013,济南市,2.3978953,.12574546,.318973,.05414455,.227663,0,49.709999,.33330002,20.154751,8.2174387,0,0,69.927071,25.61231,167.48,42.165955,42.546749,30.445391,210.48,C38,0
2675,2013,上海市,2.9957323,.052787922,.54598099,.03408666,-.0035329999,.019200001,23.48,.33330002,19.380169,6.4377518,1,0,75.844101,28.995438,168.2,44.730755,14.604651,38.888821,229.12,C35,2016
1052,2019,深圳市,2.9444389,-.064083748,.77712601,.02959734,.116229,.52460003,35.740002,.375,20.714087,8.8660173,1,1,183.77931,55.329941,472.09998,108.28838,25.906801,90.178467,527.20001,C35,2016
1855,2018,深圳市,2.4849067,.08338055,.130072,.064623378,.31204799,19.1672,41.25,.40000001,19.060266,6.6745615,1,1,165.40138,49.796947,424.88998,97.459534,23.31612,81.160622,474.48001,C39,2016
83,2016,无锡市,3.1354942,.071099028,.63152099,.20629437,.051201001,0,37.779999,.375,20.693691,8.947156,0,0,125.12358,43.010799,387.72998,75.305977,16.448111,62.899872,299.60001,C38,0
1367,2015,邯郸市,2.7080503,.034333177,.28329599,-.032470521,.425376,39.204102,18.73,.375,19.930553,6.6133842,1,0,101.8645,41.158947,325.26001,62.264526,3.792361,41.991058,196.5,C13,2016
1802,2018,厦门市,3.1780539,.099495389,.479532,.082149528,.288838,63.7896,29.799999,.42860001,19.08803,7.1098795,0,0,151.56754,46.66634,447.57001,95.433151,64.160141,69.318939,442.35001,C39,0
1353,2017,重庆市,3.0910425,.10528157,.284558,.049589559,.77069098,60.902599,54.130001,.42860001,20.396864,7.5016346,1,1,145.50552,64.787926,440,83.788277,13.703686,70.976532,290.79999,C27,2016
764,2012,福州市,2.0794415,.01931796,.38506001,-.12567487,.310552,36.308102,18.17,.42860001,18.261909,7.6492162,0,0,51.771065,19.393299,134.64,31.372505,13.083139,23.893509,138.18001,C39,0
453,2012,广州市,2.9444389,-.077135362,.50505698,.055456143,.115139,.70770001,21.879999,.375,20.32712,7.7902822,1,0,55.478523,20.055334,111.72,32.717545,31.406479,26.54768,183.03,C39,2016
554,2013,桂林市,2.4849067,.01645907,.200399,.015530067,.149204,13.0761,13.08,.40000001,18.549053,6.7787848,0,0,64.866547,24.978996,178.44,41.344692,9.8919373,26.743444,147.84,C40,0
555,2014,宜春市,3.1354942,.019093014,.12525199,-.0061640968,-.126709,.088100001,23.440001,.42860001,19.964382,7.3963351,0,0,79.894173,31.584921,282.90002,50.396294,3.0197337,33.78466,123.25,C38,0
1532,2015,东莞市,3.0910425,.057991218,.270091,.13648111,.221608,63.4412,59.060001,.33330002,19.715269,7.385231,1,0,105.38509,31.164406,305.34,64.493492,12.640039,52.09523,292.32001,C33,2016
1443,2017,上海市,2.7080503,.058728233,.30690601,-.010208497,.257413,40.154999,31.219999,.33330002,19.112051,8.1062126,1,1,151.6882,57.990875,336.39999,89.46151,29.209303,77.777641,458.23999,C38,2016
